barrio,dia,direccion_viento_tarde,direccion_viento_temprano,horas_de_sol,humedad_tarde,humedad_temprano,id,llovieron_hamburguesas_hoy,mm_evaporados_agua,mm_lluvia_dia,nubosidad_tarde,nubosidad_temprano,presion_atmosferica_tarde,presion_atmosferica_temprano,rafaga_viento_max_direccion,rafaga_viento_max_velocidad,temp_max,temp_min,temperatura_tarde,temperatura_temprano,velocidad_viendo_tarde,velocidad_viendo_temprano
Balvanera,2013-08-13,Oestenoroeste,Oestenoroeste,,21.0,56.0,7645,no,2.2,0.0,1.0,1.0,1016.5,1019.2,Oestenoroeste,24.0,20.0,4.6,19.3,11.9,17.0,7.0
San Nicolás,2013-05-15,Estenoreste,suroeste,3.6,70.0,69.0,94817,no,3.2,0.0,7.0,7.0,1011.9,1014.9,Estenoreste,24.0,27.7,21.7,26.3,24.8,17.0,15.0
Saavedra,2013-06-05,Sureste,Sureste,8.3,55.0,74.0,88758,si,6.0,1.2,3.0,5.0,1016.0,1018.9,Sureste,50.0,27.8,20.0,26.6,23.7,35.0,24.0
Belgrano,2012-11-24,Norte,Nornoreste,,28.0,46.0,13460,,,,,,1011.9,1015.8,Nornoreste,50.0,35.2,20.8,32.6,25.2,20.0,31.0
Villa Santa Rita,2009-01-18,Estesureste,Estesureste,0.0,57.0,53.0,136119,no,13.8,0.0,8.0,8.0,1010.5,1013.2,Estenoreste,39.0,25.2,23.9,24.2,23.9,13.0,7.0
Puerto Madero,2015-04-20,Sursureste,Sur,9.3,49.0,73.0,80200,si,2.4,3.8,6.0,1.0,1033.8,1036.8,Sureste,39.0,15.9,4.9,14.5,11.1,15.0,7.0
Palermo,2015-08-12,Oeste,,2.6,58.0,82.0,66516,no,5.0,0.0,7.0,7.0,1005.2,1003.1,Nornoreste,61.0,12.7,7.0,11.9,8.0,20.0,0.0
Puerto Madero,2010-02-24,suroeste,Nornoreste,12.5,46.0,77.0,78408,no,6.4,0.0,0.0,1.0,1021.8,1023.3,suroeste,43.0,23.8,8.6,22.3,13.6,24.0,6.0
Balvanera,2012-11-09,suroeste,Sur,,15.0,37.0,7427,no,7.2,0.2,7.0,6.0,1016.7,1018.0,suroeste,43.0,26.9,16.8,25.6,19.8,20.0,20.0
Balvanera,2013-12-16,Sursureste,Este,,12.0,33.0,7770,no,10.2,0.0,2.0,4.0,1012.7,1015.4,suroeste,35.0,35.8,19.9,34.9,26.4,11.0,17.0
Vélez Sársfield,2015-11-09,Oestesuroeste,Norte,8.0,32.0,24.0,101958,no,7.2,0.0,7.0,7.0,1013.8,1015.0,Oeste,52.0,34.0,15.8,26.0,24.8,26.0,28.0
Liniers,2008-07-30,Nornoreste,,8.7,48.0,84.0,45859,no,2.6,0.0,1.0,1.0,1014.6,1018.3,Nornoreste,31.0,12.2,-2.8,11.5,2.7,15.0,0.0
La Paternal,2012-11-25,Noreste,Sur,,78.0,82.0,43972,no,,0.0,,,1013.0,1013.4,Sursuroeste,31.0,24.6,18.6,23.4,21.4,9.0,11.0
Villa Urquiza,2014-12-22,Noroeste,Estenoreste,,79.0,74.0,142965,si,6.4,8.6,6.0,3.0,1004.9,1009.1,Este,43.0,35.5,24.0,27.5,29.0,15.0,13.0
Villa Lugano,2015-10-16,Oestesuroeste,Sur,12.0,32.0,40.0,120019,no,3.8,0.0,0.0,1.0,1020.3,1024.1,suroeste,41.0,22.7,3.7,22.3,18.2,24.0,15.0
Belgrano,2016-07-22,Noroeste,Nornoreste,,64.0,91.0,14737,no,1.6,0.2,7.0,8.0,1010.9,1016.1,Nornoreste,31.0,25.0,15.3,24.3,17.3,20.0,19.0
Versalles,2011-03-19,Estenoreste,Este,9.4,30.0,64.0,103360,no,3.6,0.0,3.0,6.0,1008.9,1011.9,Estenoreste,37.0,25.3,13.0,24.0,14.1,17.0,19.0
Núñez,2012-11-28,Este,Estenoreste,7.7,65.0,81.0,62579,si,2.4,7.4,2.0,8.0,1014.9,1017.9,Este,39.0,23.2,16.0,21.8,17.8,24.0,20.0
San Telmo,2014-06-26,Nornoreste,Norte,,70.0,92.0,98417,si,0.8,2.0,,,1019.9,1022.2,Noroeste,39.0,15.7,12.7,14.6,13.0,20.0,11.0
Villa Lugano,2015-01-10,Estesureste,Este,13.2,18.0,39.0,119740,no,11.4,0.0,0.0,1.0,1011.8,1016.6,Este,76.0,30.3,16.0,29.6,21.6,31.0,31.0
Retiro,2014-06-23,Noreste,suroeste,9.2,52.0,77.0,86101,no,2.4,0.2,5.0,3.0,1014.4,1019.8,Estenoreste,17.0,24.1,10.8,22.4,15.0,9.0,6.0
Monte Castro,2009-03-31,,Este,,,99.0,52182,no,,0.2,,,,,,,13.0,6.0,,7.9,,31.0
Retiro,2009-06-28,Oestenoroeste,Oestesuroeste,8.4,54.0,67.0,84369,no,2.2,0.0,5.0,1.0,1006.8,1008.8,Noroeste,24.0,20.4,8.8,19.2,17.4,9.0,7.0
Villa Devoto,2012-05-12,Norte,,,,,112808,no,,0.2,,,1015.9,1020.7,Norte,37.0,21.7,7.6,21.1,13.4,20.0,0.0
Constitución,2009-07-27,Oestesuroeste,Oeste,9.0,34.0,72.0,30718,si,0.4,12.2,1.0,1.0,1015.4,1016.3,,,18.9,8.3,18.8,10.5,17.0,19.0
San Telmo,2011-11-10,Oestesuroeste,Oestenoroeste,11.9,46.0,60.0,97517,si,6.8,3.4,,,1020.3,1019.1,Oestesuroeste,41.0,21.4,13.2,20.3,17.0,15.0,19.0
La Paternal,2010-07-31,Oestesuroeste,,,38.0,,43154,,,,,,1011.2,1011.9,Oeste,61.0,20.7,13.7,19.7,,22.0,
Villa Pueyrredón,2011-08-06,,,,,,127746,,,,,,,,,,,,,,,
Caballito,2011-12-28,Sursuroeste,Sursuroeste,,72.0,65.0,19176,no,,0.0,,,1011.2,1013.3,Sur,52.0,22.0,18.7,21.2,20.5,41.0,26.0
Monserrat,2016-08-30,Nornoreste,Nornoreste,,99.0,80.0,57842,no,,0.0,7.0,8.0,1014.2,1019.2,Norte,69.0,12.3,9.2,10.3,10.2,39.0,35.0
Liniers,2016-11-02,Noroeste,Oestenoroeste,,35.0,48.0,48787,no,,0.0,,,1012.6,1013.6,Noroeste,54.0,20.6,4.5,19.8,13.7,31.0,20.0
Recoleta,2010-07-03,Oestesuroeste,Nornoreste,3.0,79.0,99.0,81546,si,0.2,5.4,,,1031.0,1031.6,Oeste,20.0,13.5,5.1,12.5,6.8,11.0,7.0
Parque Patricios,2011-01-03,Sur,Sureste,10.9,50.0,54.0,75712,no,4.0,0.0,6.0,8.0,1019.2,1019.6,Sursureste,33.0,17.0,12.0,16.0,13.6,19.0,15.0
Colegiales,2010-02-05,Noreste,,,72.0,87.0,27567,si,2.2,26.4,,,1008.2,1010.3,Este,33.0,29.3,21.7,27.7,24.6,19.0,0.0
Vélez Sársfield,2016-08-31,Oeste,Noroeste,,73.0,83.0,102254,si,,1.6,4.0,8.0,1014.2,1014.1,Oestenoroeste,44.0,16.2,11.1,14.4,12.9,24.0,17.0
Puerto Madero,2015-10-11,Oestesuroeste,Nornoreste,5.9,51.0,71.0,80374,si,8.4,3.6,7.0,7.0,1015.3,1019.2,Oestenoroeste,52.0,26.9,16.2,25.0,19.6,9.0,9.0
Barracas,2009-08-09,Este,Oestenoroeste,9.7,36.0,59.0,9278,no,3.0,0.0,2.0,3.0,1017.9,1020.5,Estesureste,19.0,18.1,3.1,17.2,14.1,13.0,7.0
Núñez,2010-01-30,Este,Este,12.8,53.0,65.0,61576,no,7.2,0.0,1.0,0.0,1014.4,1017.8,Este,48.0,26.9,11.5,25.7,19.1,35.0,20.0
Villa Crespo,2011-11-22,Sursuroeste,Sur,3.5,18.0,55.0,106587,no,10.4,0.0,5.0,7.0,1012.3,1014.0,Sursuroeste,56.0,26.6,17.0,24.1,19.5,33.0,24.0
Parque Patricios,2014-11-16,Oeste,Oestesuroeste,11.0,70.0,68.0,77036,si,3.4,1.8,8.0,1.0,1012.0,1012.0,Oeste,57.0,16.9,9.5,15.8,13.5,35.0,26.0
Villa Soldati,2010-04-24,Noroeste,Sur,11.1,64.0,76.0,139773,no,4.8,0.0,3.0,1.0,1008.4,1012.3,Oestenoroeste,31.0,33.9,26.0,31.1,28.9,17.0,15.0
Villa Urquiza,2015-04-11,Sureste,Sursureste,,50.0,49.0,143075,no,5.4,0.0,0.0,0.0,1008.9,1012.5,Norte,31.0,36.0,17.7,35.4,26.1,13.0,17.0
Villa del Parque,2015-04-01,Sureste,Sursureste,0.5,59.0,80.0,110794,si,3.2,1.4,8.0,8.0,1026.7,1027.4,,,18.0,13.9,17.1,15.8,37.0,19.0
Parque Patricios,2009-11-20,Oestesuroeste,Oeste,3.1,95.0,64.0,75303,no,12.4,0.0,8.0,4.0,1007.6,1003.8,Noroeste,91.0,21.4,18.7,16.9,21.3,22.0,33.0
Vélez Sársfield,2010-02-05,Sur,Sur,10.7,57.0,66.0,99944,si,2.6,9.2,6.0,5.0,1019.0,1017.9,Sursureste,52.0,22.1,11.0,19.9,17.9,33.0,28.0
Parque Chacabuco,2013-06-17,Oestesuroeste,Sur,6.9,45.0,92.0,71932,no,1.8,0.0,5.0,4.0,1015.4,1018.1,Oestesuroeste,26.0,14.8,1.1,13.2,4.9,15.0,7.0
Palermo,2015-02-08,Sursureste,Sursuroeste,5.8,55.0,77.0,66331,no,12.8,0.0,7.0,7.0,1021.9,1020.2,Sur,39.0,23.5,18.8,21.3,19.3,22.0,22.0
Villa Urquiza,2016-11-29,Oestenoroeste,Noroeste,,,60.0,143673,no,9.8,0.0,,3.0,1005.2,1010.5,Oestenoroeste,37.0,39.8,25.0,,32.7,9.0,17.0
Vélez Sársfield,2012-09-07,Oeste,Oeste,7.5,64.0,74.0,100859,si,3.0,12.2,8.0,4.0,1011.7,1008.5,Oeste,80.0,13.2,7.2,12.1,9.7,41.0,31.0
Vélez Sársfield,2011-09-07,Sur,Nornoreste,3.8,67.0,86.0,100493,si,2.4,5.0,7.0,7.0,1020.0,1020.6,Sursuroeste,30.0,14.6,3.0,12.2,8.4,11.0,13.0
Saavedra,2016-11-15,Sureste,Sursureste,,24.0,30.0,90017,no,7.8,0.0,,,1010.2,1013.4,Sureste,48.0,35.1,19.0,32.2,30.3,37.0,20.0
San Cristóbal,2011-05-24,Noroeste,Oestenoroeste,,41.0,65.0,91114,si,,5.4,,,1004.8,1008.8,Noroeste,41.0,23.0,14.0,22.2,18.9,26.0,15.0
Floresta,2009-09-07,Oestesuroeste,Noreste,5.8,48.0,75.0,36778,no,3.8,1.0,4.0,7.0,1002.8,1005.6,Oeste,43.0,18.5,8.6,17.9,13.8,28.0,6.0
Villa Riachuelo,2014-01-02,Noroeste,Nornoreste,,34.0,59.0,134800,si,,3.4,,,998.4,997.3,Norte,41.0,26.6,10.9,23.6,16.5,22.0,19.0
La Paternal,2009-06-25,Oestenoroeste,Oestesuroeste,,57.0,59.0,42753,no,,0.0,2.0,,1011.2,1013.8,Oeste,39.0,16.6,10.7,15.2,13.4,11.0,22.0
San Nicolás,2015-02-26,Noreste,Sureste,11.4,50.0,63.0,95469,si,8.2,1.2,2.0,4.0,1004.5,1009.1,Este,33.0,33.7,23.9,32.3,29.8,20.0,11.0
Versalles,2011-12-25,Oeste,Oeste,4.9,67.0,78.0,103611,no,8.4,0.0,7.0,7.0,1005.6,1007.5,Oeste,39.0,28.5,17.1,20.9,21.5,13.0,17.0
Villa General Mitre,2016-10-16,Oestesuroeste,Sureste,11.0,52.0,56.0,117376,si,,1.2,1.0,4.0,1023.7,1026.4,Sur,35.0,19.9,5.9,19.2,15.3,22.0,17.0
Boedo,2009-01-13,Sureste,Noreste,,56.0,65.0,15119,no,,0.0,5.0,2.0,,,,,28.4,19.2,27.6,24.6,28.0,4.0
Mataderos,2009-10-24,Norte,Oestenoroeste,,35.0,68.0,49350,no,,0.0,,,1014.9,1019.7,Oeste,44.0,25.5,9.4,23.3,14.4,15.0,6.0
Villa Crespo,2010-10-27,suroeste,Sureste,11.7,21.0,57.0,106226,no,11.4,0.0,0.0,0.0,1017.3,1020.7,Sureste,31.0,28.2,13.0,26.7,17.5,11.0,19.0
Parque Chacabuco,2017-02-03,Estenoreste,Sursureste,6.3,20.0,50.0,73259,no,7.8,0.0,1.0,4.0,1013.5,1016.3,Sursuroeste,22.0,32.4,13.5,30.4,19.3,9.0,13.0
Balvanera,2010-03-19,Sur,Norte,11.3,26.0,49.0,6491,no,8.4,0.0,2.0,1.0,1019.2,1021.4,Nornoreste,30.0,32.6,18.8,31.0,23.2,6.0,11.0
Constitución,2014-02-15,Estenoreste,Este,0.0,82.0,88.0,32293,no,2.2,1.0,8.0,8.0,999.5,1003.7,Noreste,26.0,24.9,20.9,23.1,21.5,17.0,2.0
Villa Luro,2012-05-05,Oestesuroeste,Norte,4.3,66.0,82.0,122012,si,1.6,11.2,5.0,5.0,1006.2,1009.0,Nornoreste,22.0,22.5,16.9,22.2,20.6,9.0,2.0
Parque Avellaneda,2011-02-17,Sur,Oestenoroeste,8.5,54.0,85.0,68161,si,5.0,4.6,,7.0,1012.5,1013.2,Sur,33.0,27.9,19.5,27.2,21.3,20.0,6.0
Villa Soldati,2014-10-03,Nornoreste,Sursureste,10.9,46.0,69.0,141307,no,7.4,0.0,1.0,7.0,1008.1,1013.2,Nornoreste,37.0,32.9,22.2,32.4,28.8,28.0,9.0
Villa Ortúzar,2010-11-25,Este,Estenoreste,,18.0,41.0,124516,no,,0.0,,,,,Sursureste,50.0,32.6,7.0,30.3,24.2,13.0,7.0
Parque Patricios,2016-12-11,Estesureste,Sureste,,61.0,62.0,77792,no,,0.8,2.0,8.0,1023.5,1025.2,Sureste,28.0,18.1,7.6,17.4,13.8,15.0,9.0
Palermo,2015-12-23,Sursureste,Sursuroeste,13.3,42.0,68.0,66649,no,6.8,0.0,1.0,3.0,1015.4,1018.4,Sursureste,39.0,28.7,13.7,27.0,20.4,22.0,7.0
Floresta,2012-02-03,Oeste,Sursureste,4.8,46.0,75.0,37627,si,3.4,2.4,7.0,6.0,1003.5,1006.7,Estesureste,30.0,27.0,15.4,25.1,18.6,7.0,9.0
Recoleta,2009-11-05,Estesureste,,5.9,58.0,78.0,81306,no,3.2,0.2,,,1024.2,1025.9,Estesureste,35.0,17.4,8.9,16.5,12.4,11.0,0.0
La Paternal,2009-06-16,Sursuroeste,Sursuroeste,,86.0,93.0,42744,si,,11.8,8.0,8.0,1021.3,1019.2,Sur,50.0,15.1,9.9,13.1,12.0,20.0,17.0
Barracas,2011-05-12,suroeste,Nornoreste,9.9,28.0,48.0,9889,no,2.8,0.0,1.0,5.0,1009.3,1011.6,suroeste,30.0,19.6,5.9,18.8,15.6,20.0,11.0
Liniers,2008-11-19,Sureste,Este,1.4,64.0,67.0,45971,no,2.6,0.0,8.0,7.0,1006.9,1010.4,Este,24.0,22.6,15.2,21.2,18.0,6.0,13.0
Caballito,2017-03-30,Sur,Nornoreste,,100.0,100.0,21031,no,,0.0,,,1006.4,1007.2,Sursuroeste,85.0,24.9,23.1,21.2,24.0,43.0,7.0
Villa Lugano,2010-10-02,suroeste,suroeste,8.3,49.0,47.0,118268,no,4.0,0.0,6.0,6.0,1016.3,1015.9,suroeste,44.0,21.4,11.7,19.2,18.5,20.0,26.0
Villa Soldati,2015-02-28,Oestenoroeste,suroeste,7.1,75.0,84.0,141455,si,,68.6,6.0,7.0,1005.1,1007.5,Oestenoroeste,43.0,31.8,23.0,30.9,26.9,28.0,7.0
La Paternal,2011-08-10,Oestesuroeste,Oestesuroeste,,38.0,54.0,43499,no,,0.0,1.0,,1004.3,1006.5,Oestesuroeste,48.0,17.1,9.8,16.7,12.6,19.0,20.0
Flores,2013-07-30,Estesureste,Oestenoroeste,3.4,50.0,56.0,35102,no,3.4,0.0,5.0,6.0,1017.8,1019.6,Sursuroeste,57.0,20.1,10.8,19.3,15.6,11.0,13.0
Villa General Mitre,2012-09-05,Oeste,Norte,4.8,65.0,83.0,115933,si,,6.2,4.0,8.0,1018.4,1020.0,Oeste,41.0,19.2,8.8,18.4,13.7,24.0,4.0
Saavedra,2016-12-29,Noreste,Sur,,78.0,63.0,90061,no,40.6,0.2,7.0,,1004.8,1007.7,Estenoreste,39.0,34.0,24.0,28.5,31.1,17.0,11.0
Belgrano,2013-08-04,suroeste,Nornoreste,10.3,34.0,63.0,13654,no,3.8,0.0,2.0,1.0,1017.2,1020.0,Oeste,37.0,19.1,1.9,18.6,10.6,19.0,7.0
Palermo cheto,2014-10-09,Sursureste,Este,,7.0,13.0,144469,no,,0.0,,,1011.0,1016.7,suroeste,35.0,37.2,13.8,35.4,25.0,7.0,20.0
San Telmo,2016-08-24,Estenoreste,,,52.0,70.0,99207,no,,0.0,,,1014.6,1016.4,Oestesuroeste,26.0,16.6,6.9,14.0,11.7,7.0,0.0
Parque Chacabuco,2013-05-18,Oeste,Oestesuroeste,8.5,35.0,79.0,71902,no,1.4,0.0,6.0,3.0,1018.3,1020.9,Oeste,35.0,18.6,8.2,17.8,12.1,22.0,9.0
Monte Castro,2014-09-25,Sursureste,Oestesuroeste,,97.0,98.0,54097,si,,7.0,,,,,Noroeste,61.0,7.0,4.3,5.2,5.4,19.0,15.0
Barracas,2009-03-22,Sursureste,suroeste,9.0,63.0,78.0,9138,no,3.2,0.4,5.0,7.0,1015.1,1017.0,Sursuroeste,33.0,25.9,17.0,25.0,20.6,13.0,13.0
Villa del Parque,2010-12-21,Este,Estenoreste,3.2,71.0,75.0,109321,no,4.0,0.0,7.0,8.0,1011.0,1013.6,,,21.9,17.1,21.7,19.4,24.0,17.0
Recoleta,2014-01-23,Este,Estesureste,11.3,20.0,69.0,82757,no,6.0,0.0,,,1013.9,1018.7,Norte,35.0,32.9,10.3,31.2,16.6,7.0,17.0
Saavedra,2009-01-04,Sur,Sur,8.0,76.0,81.0,87234,no,5.4,0.4,7.0,7.0,1006.6,1009.3,Estenoreste,28.0,32.7,25.4,28.5,27.8,19.0,13.0
Recoleta,2016-04-30,Nornoreste,Norte,,45.0,89.0,83585,si,,4.6,,,1007.3,1011.6,Nornoreste,48.0,22.4,12.7,22.1,15.4,28.0,19.0
Almagro,2011-12-19,Norte,,,75.0,96.0,4092,si,,1.8,,,1007.7,1010.9,Estenoreste,28.0,24.0,16.2,23.2,18.0,6.0,0.0
Monte Castro,2016-03-19,Este,Sur,,60.0,95.0,54638,si,,13.2,,,,,Oestesuroeste,46.0,11.0,0.0,8.8,1.7,4.0,13.0
Recoleta,2010-12-10,Oestenoroeste,Oestenoroeste,10.0,53.0,80.0,81706,si,5.2,1.2,,,1009.4,1012.0,Oestenoroeste,63.0,18.3,7.6,17.4,11.1,35.0,22.0
Nueva Pompeya,2014-05-02,Noreste,Norte,,86.0,87.0,60031,no,,0.2,8.0,8.0,999.9,1005.7,Nornoreste,28.0,12.3,9.5,12.1,9.6,11.0,17.0
Balvanera,2012-05-03,Sur,Sursureste,,33.0,61.0,7237,si,2.0,1.2,0.0,1.0,1021.0,1023.7,Sur,28.0,16.1,8.2,15.8,10.9,13.0,15.0
Palermo cheto,2015-11-19,Norte,Norte,,4.0,7.0,144875,no,,0.0,,,1008.4,1012.8,Oestenoroeste,50.0,42.9,20.5,41.1,34.9,19.0,17.0
Almagro,2010-04-07,Norte,Norte,,72.0,99.0,3501,si,,9.8,,,1012.3,1017.1,Norte,24.0,24.4,17.0,23.3,17.6,17.0,9.0
Mataderos,2014-07-21,Norte,,,43.0,97.0,50991,no,,0.0,,,1024.0,1028.3,Norte,22.0,12.9,-3.5,12.4,0.0,13.0,0.0
Constitución,2015-03-27,Oeste,Oeste,11.2,20.0,34.0,32698,no,7.0,0.0,0.0,1.0,1017.1,1020.5,Oestesuroeste,52.0,27.6,14.7,26.4,17.2,22.0,15.0
Villa Lugano,2014-01-14,suroeste,Sureste,13.1,37.0,46.0,119379,no,10.2,0.0,0.0,0.0,1010.0,1012.7,Oeste,44.0,27.8,14.5,26.3,22.3,30.0,7.0
Villa Crespo,2014-06-19,Noroeste,Nornoreste,,60.0,61.0,107468,no,4.0,0.0,1.0,6.0,1016.4,1021.1,Nornoreste,44.0,21.0,9.6,20.4,11.5,20.0,26.0
Recoleta,2016-07-25,Oestenoroeste,Norte,,93.0,90.0,83671,si,1.2,7.6,,,1002.7,1008.2,Noroeste,83.0,12.4,5.4,9.0,7.4,24.0,13.0
Parque Patricios,2014-03-01,Sureste,Sureste,10.6,72.0,78.0,76776,no,5.4,0.0,8.0,7.0,1023.9,1024.4,Sureste,37.0,18.8,14.7,18.0,16.3,22.0,20.0
San Nicolás,2012-07-13,Estenoreste,suroeste,2.4,77.0,90.0,94570,no,1.6,0.2,7.0,7.0,1013.0,1016.3,Estenoreste,20.0,25.7,20.8,25.2,21.9,15.0,2.0
Villa Luro,2017-06-11,Noreste,Noreste,4.5,20.0,45.0,123816,no,3.2,0.0,7.0,7.0,1021.1,1023.8,Estenoreste,30.0,23.6,8.1,23.2,12.8,11.0,6.0
San Telmo,2014-12-01,Oestesuroeste,Oeste,,48.0,69.0,98575,no,20.0,0.0,,,1009.1,1010.3,Oeste,31.0,24.6,17.5,22.8,18.7,15.0,15.0
Barracas,2010-07-02,suroeste,Oestenoroeste,0.0,95.0,78.0,9605,no,1.4,0.0,8.0,7.0,1024.4,1026.5,Nornoreste,17.0,12.9,8.3,11.7,11.5,11.0,7.0
Floresta,2014-11-12,Sur,Noreste,13.1,19.0,51.0,38581,no,8.0,0.0,1.0,0.0,1012.6,1017.4,Estenoreste,31.0,31.6,12.0,30.4,19.1,15.0,19.0
Saavedra,2011-07-17,Estesureste,Sursureste,4.8,70.0,74.0,88128,no,4.8,0.2,7.0,2.0,1014.6,1017.6,Sureste,43.0,26.4,20.5,24.1,23.3,26.0,22.0
Monte Castro,2011-08-04,,Noroeste,,,61.0,53008,no,,0.0,,,,,Noroeste,54.0,11.0,4.9,,6.9,,22.0
Villa Ortúzar,2013-12-28,Estesureste,Sureste,,20.0,46.0,125556,no,,0.0,,,,,Este,37.0,30.8,9.6,29.4,20.1,15.0,17.0
Barracas,2012-04-09,Sureste,Nornoreste,7.0,74.0,60.0,10222,no,4.2,0.0,6.0,2.0,1013.5,1014.7,Nornoreste,48.0,27.0,18.3,23.6,24.5,22.0,17.0
San Nicolás,2016-08-31,Estenoreste,Estesureste,,58.0,74.0,96021,no,6.0,0.2,,8.0,1018.1,1021.9,Este,37.0,27.6,20.1,26.0,23.3,22.0,22.0
Belgrano,2010-04-01,suroeste,Sureste,11.0,34.0,85.0,12522,no,4.0,0.0,2.0,0.0,1014.5,1017.3,Sursuroeste,39.0,29.0,13.6,27.7,18.3,22.0,7.0
Agronomía,2014-12-12,Sursureste,Sursureste,,35.0,46.0,2113,no,,0.0,,,1017.1,1019.1,Sureste,35.0,27.5,12.9,26.2,20.7,17.0,22.0
Colegiales,2016-04-06,Norte,Nornoreste,,26.0,60.0,29730,no,4.4,0.0,4.0,,1010.7,1015.9,Nornoreste,44.0,36.6,13.9,34.6,25.5,24.0,15.0
Caballito,2013-04-14,Nornoreste,Oeste,,67.0,72.0,19590,no,,0.0,,,1011.3,1013.9,Nornoreste,28.0,26.4,16.2,24.0,22.7,19.0,6.0
Puerto Madero,2011-09-20,Oestesuroeste,Oeste,7.1,49.0,86.0,78951,si,10.4,5.6,5.0,7.0,1010.5,1006.9,Oestesuroeste,56.0,16.0,9.0,15.2,11.5,26.0,19.0
Villa General Mitre,2009-09-25,Este,Sureste,10.3,41.0,58.0,114887,no,,0.0,,1.0,1026.6,1029.1,Sureste,39.0,17.5,2.7,17.5,12.3,19.0,22.0
Recoleta,2011-03-17,Sur,Estesureste,9.6,53.0,99.0,81803,no,3.4,0.0,,,1022.8,1024.6,Estesureste,39.0,19.6,3.9,17.9,7.9,15.0,7.0
Villa Lugano,2014-01-15,Oestesuroeste,Nornoreste,12.4,46.0,51.0,119380,no,9.4,0.0,3.0,2.0,1008.5,1008.6,Oestesuroeste,48.0,26.2,14.5,24.8,22.9,30.0,7.0
Floresta,2013-01-12,suroeste,Nornoreste,2.8,15.0,21.0,37940,no,10.6,0.0,7.0,6.0,1008.5,1006.4,Oestesuroeste,41.0,32.1,18.9,30.0,27.3,17.0,9.0
Coghlan,2015-10-21,Nornoreste,Nornoreste,,66.0,73.0,26553,si,,1.4,,,,,Nornoreste,20.0,24.5,16.1,23.9,22.0,6.0,2.0
Villa Pueyrredón,2011-12-14,Sureste,Estesureste,,88.0,97.0,127876,si,,8.8,,,1014.2,1015.2,Sureste,44.0,19.6,15.3,18.3,17.3,26.0,20.0
Parque Chas,2016-03-26,Oestesuroeste,Oestenoroeste,,56.0,87.0,74523,no,,0.0,,,1020.5,1021.8,Sursuroeste,37.0,21.0,9.8,19.4,11.9,24.0,7.0
Almagro,2014-01-29,Noreste,Norte,,21.0,68.0,4805,no,,0.0,,,1012.2,1016.9,Estenoreste,31.0,37.9,15.1,36.1,22.0,11.0,6.0
Villa Soldati,2014-10-13,Nornoreste,Nornoreste,11.1,47.0,62.0,141317,no,7.6,0.0,2.0,1.0,1010.3,1014.6,Noroeste,37.0,33.6,24.3,32.6,28.9,20.0,19.0
Retiro,2012-01-23,Estesureste,Estesureste,0.5,91.0,73.0,85278,no,6.6,0.6,8.0,7.0,1012.7,1013.6,Sursureste,30.0,27.5,21.1,23.2,26.6,7.0,9.0
San Nicolás,2009-06-10,Estenoreste,Oeste,10.8,24.0,35.0,93471,no,7.2,0.0,1.0,5.0,1016.2,1019.9,Estenoreste,33.0,26.3,9.2,25.6,20.3,9.0,11.0
Puerto Madero,2011-10-13,Este,Estenoreste,10.9,51.0,89.0,78974,no,2.8,0.2,7.0,4.0,1017.5,1021.6,Sursuroeste,24.0,22.7,3.6,21.3,9.8,7.0,6.0
Palermo,2012-01-25,Sursuroeste,Sur,7.3,45.0,78.0,65280,no,11.6,0.0,1.0,7.0,1013.9,1015.8,Sur,39.0,26.8,15.7,26.3,19.5,17.0,17.0
Coghlan,2016-11-15,Oeste,Sur,,41.0,69.0,26944,si,,3.0,,,,,Estesureste,28.0,25.1,13.4,24.7,16.8,4.0,7.0
Floresta,2012-04-23,Oestenoroeste,Noreste,8.5,36.0,86.0,37707,si,1.6,1.4,2.0,7.0,1009.1,1011.5,Oestenoroeste,37.0,23.4,11.5,21.9,15.7,24.0,2.0
Chacarita,2009-12-02,Oestenoroeste,Nornoreste,10.3,90.0,88.0,21454,no,5.0,0.0,7.0,7.0,1015.3,1015.4,Noroeste,41.0,25.4,21.1,23.4,23.2,22.0,22.0
Barracas,2012-07-17,Este,Oestenoroeste,7.0,61.0,75.0,10321,no,2.2,0.0,5.0,2.0,1023.9,1028.1,,,19.9,5.6,18.3,13.7,9.0,7.0
Liniers,2011-05-16,Sursuroeste,,4.1,66.0,,46849,no,2.0,0.0,0.0,8.0,1028.1,1031.5,Norte,15.0,11.1,-6.5,9.5,0.8,7.0,0.0
Belgrano,2010-03-06,Noreste,Noreste,6.0,77.0,84.0,12496,si,2.6,11.0,8.0,6.0,1009.9,1010.7,Noreste,39.0,27.8,19.3,25.5,23.5,24.0,19.0
Núñez,2012-01-20,Sureste,suroeste,0.0,72.0,85.0,62266,no,6.4,0.0,8.0,8.0,1015.1,1016.8,Sursuroeste,28.0,22.2,14.7,21.6,17.6,15.0,9.0
Villa Pueyrredón,2012-09-10,Oestenoroeste,Noroeste,,74.0,87.0,128147,,,,,,1010.8,1011.9,Oestenoroeste,37.0,20.8,12.3,18.5,17.0,20.0,20.0
Almagro,2014-07-27,suroeste,Norte,,41.0,84.0,4984,si,,2.2,,,1021.2,1024.7,Oestesuroeste,26.0,19.5,3.6,19.1,10.8,11.0,2.0
